# ID      zz        CTIO_U   eCTIO_U   VIMOS_U   eVIMOS_U   ACS_F435W   eACS_F435W   ACS_F606W   eACS_F606W   ACS_F775W   eACS_F775W   ACS_F814W   eACS_F814W   ACS_F850LP   eACS_F850LP   WFC3_F098M   eWFC3_F098M   WFC3_F105W   eWFC3_F105W   WFC3_F125W   eWFC3_F125W   WFC3_F160W   eWFC3_F160W   ISAAC_KS   eISAAC_KS   HAWKI_KS   eHAWKI_KS   IRAC_CH1   eIRAC_CH1   IRAC_CH2   eIRAC_CH2   IRAC_CH3   eIRAC_CH3   IRAC_CH4   eIRAC_CH4   flg1   flg2  
  3451    1.035     24.956   0.051     24.949    0.022      24.96       0.055        24.824      0.031        24.437      0.043        24.37       0.029        24.084       0.037         98.992       -99.0         24.043       0.021         23.976       0.018         23.876       0.02          23.785     0.095       23.66      0.025       23.637     0.112       23.793     0.091       99.0       -99.0       24.144     0.63        0      0.0   
  3458    1.03908   24.177   0.023     24.122    0.013      24.112      0.027        23.975      0.014        23.495      0.022        23.429      0.023        23.176       0.018         98.992       -99.0         23.055       0.02          22.897       0.007         22.862       0.008         22.678     0.032       98.997     -99.0       22.284     0.024       22.637     0.027       22.828     0.131       22.993     0.155       0      0.02  
  3591    1.07      25.279   0.062     25.2      0.025      98.971      -99.0        98.981      -99.0        98.988      -99.0        24.532      0.03         98.991       -99.0         98.992       -99.0         98.993       -99.0         23.932       0.037         23.815       0.039         98.997     -99.0       23.608     0.075       23.04      0.055       23.327     0.047       23.337     0.29        23.896     0.484       0      0.0   
  3631    1.015     24.246   0.03      24.205    0.016      24.203      0.042        24.046      0.019        23.547      0.024        23.447      0.018        23.263       0.021         98.992       -99.0         23.202       0.028         23.085       0.017         23.057       0.02          23.034     0.055       22.91      0.054       22.672     0.048       22.985     0.051       23.189     0.248       23.805     0.449       0      0.0   
  3647    1.095     98.967   -99.0     27.789    0.23       26.144      0.301        24.343      0.044        22.826      0.023        22.473      0.014        21.752       0.012         98.992       -99.0         21.262       0.005         20.894       0.003         20.529       0.002         20.004     0.004       20.04      0.001       19.522     0.002       19.756     0.002       20.265     0.017       20.666     0.024       0      0.03  
  3653    1.021     24.559   0.038     24.544    0.018      24.515      0.051        24.394      0.029        23.851      0.035        23.77       0.026        23.591       0.032         98.992       -99.0         23.462       0.018         23.348       0.014         23.293       0.016         23.345     0.081       23.188     0.022       22.868     0.051       23.198     0.048       23.273     0.255       24.0       0.512       0      0.0   
  3683    1.0459    24.17    0.032     24.068    0.015      24.057      0.045        23.609      0.022        22.851      0.024        22.696      0.015        22.382       0.018         98.992       -99.0         22.183       0.009         21.918       0.005         21.701       0.005         21.158     0.013       21.168     0.004       20.547     0.006       20.785     0.005       21.108     0.033       21.064     0.032       0      0.0   
  3707    1.058     24.914   0.051     24.736    0.02       24.683      0.05         24.498      0.027        24.021      0.034        23.868      0.024        23.549       0.027         98.992       -99.0         23.478       0.016         23.425       0.012         23.367       0.013         23.108     0.053       23.255     0.017       22.816     0.052       23.288     0.063       23.549     0.349       24.465     0.842       0      0.0   
  3767    1.045     28.211   0.985     27.417    0.146      26.286      0.215        24.858      0.044        23.411      0.026        23.127      0.017        22.509       0.015         98.992       -99.0         22.102       0.007         21.81        0.004         21.483       0.003         20.971     0.007       21.032     0.002       20.507     0.005       20.794     0.004       21.295     0.033       21.789     0.053       0      0.04  
  3811    1.062     25.411   0.073     25.37     0.03       25.224      0.088        25.109      0.04         24.574      0.056        24.499      0.047        24.221       0.044         98.992       -99.0         24.111       0.035         24.007       0.021         23.872       0.023         23.83      0.124       98.997     -99.0       23.678     0.088       23.7       0.073       25.423     1.464       24.249     0.502       0      0.0   
