#	ID	BPASS_log10M*_16	BPASS_log10M*_50	BPASS_log10M*_84	BPASS_SFR10_16	BPASS_SFR10_50	BPASS_SFR10_84	BPASS_SFR100_16	BPASS_SFR100_50	BPASS_SFR100_84	BPASS_A_V_16	BPASS_A_V_50	BPASS_A_V_84	PEGASE_log10M*_16	PEGASE_log10M*_50	PEGASE_log10M*_84	PEGASE_SFR10_16	PEGASE_SFR10_50	PEGASE_SFR10_84	PEGASE_SFR100_16	PEGASE_SFR100_50	PEGASE_SFR100_84	PEGASE_A_V_16	PEGASE_A_V_50	PEGASE_A_V_84
22343	10.17445	11.13654	11.2145	-2.08593	-1.09584	1.26377	-1.8852	-0.92335	1.2482	1.34879	2.5457	2.7895	9.977	10.05651	10.11165	0.61246	0.86702	1.04087	0.71256	0.95757	1.13122	1.09523	1.68048	1.77924
18821	11.38896	12.09089	12.10391	-3.4762	-1.85514	-1.64206	-3.30477	-1.64911	-1.43963	1.41315	3.64654	3.6916	10.976	10.99087	10.9986	-0.67961	1.21696	1.24431	-0.62219	1.22258	1.24957	0.81444	1.11769	1.17565
21315	8.75089	8.91465	9.0721	0.62122	0.78851	0.93252	0.51244	0.66424	0.80448	0.46094	0.72792	0.97673	8.76157	8.85087	8.94519	0.5807	0.74623	0.87759	0.50814	0.62416	0.7448	0.59928	0.78642	1.00648
18715	10.71888	11.17158	11.2366	-6.31234	-3.68582	-2.38393	-6.15678	-3.54193	-2.29022	1.23267	1.80038	1.89946	10.18617	10.20278	10.26138	-7.52055	-4.71349	-3.31505	-7.33435	-4.58724	-3.22327	-0.74175	-0.64371	-0.04386
7837	10.31892	10.45166	11.65561	-2.10952	1.97353	1.9965	-1.90166	1.92446	1.96339	1.00927	1.10547	1.9618	10.43641	10.446	10.45574	2.27417	2.54264	2.55155	2.18193	2.36636	2.37457	1.85077	2.26241	2.28116
15753	9.44074	9.71701	9.76437	1.0205	1.74211	1.79549	0.96659	1.57484	1.62191	0.84313	1.97319	2.06546	9.4311	9.44868	9.48391	1.43526	1.49752	1.53426	1.30278	1.33795	1.36761	1.60842	1.67979	1.74038
17265	9.75393	9.89046	9.92587	1.29051	1.31378	1.80309	1.25791	1.27571	1.62779	0.45291	0.47804	1.20145	9.81416	9.84037	9.8492	1.67693	1.90792	1.93705	1.57727	1.74547	1.76234	1.24421	1.62623	1.66549
8041	10.84322	10.86097	10.92393	-9.84478	-6.60726	-3.94378	-9.67248	-6.49401	-3.8639	0.33308	0.39372	0.64488	10.45079	10.48508	10.54254	-12.38687	-6.43254	-3.92179	-12.22136	-6.32539	-3.84228	-0.24556	-0.2033	0.00104
18413	9.08212	9.16063	9.22071	1.04027	1.15535	1.23697	0.90725	1.0015	1.07157	1.11105	1.30403	1.44791	8.74603	8.81248	8.92839	0.43617	0.65914	0.8288	0.38612	0.56332	0.70378	0.33257	0.6136	0.89308
16514	11.08419	11.66792	11.71428	-2.33034	-1.00203	1.06887	-2.13713	-0.87773	1.09876	0.78041	2.12674	2.28589	10.63518	10.65514	10.74705	-1.6765	-1.36536	-1.16376	-1.55989	-1.25573	-1.06493	-0.0791	0.01273	0.10412
